*** Use 191-11517 ***,1866-11517
*** Use 191-11518 ***,1866-11518
*** Use 191-11519 ***,1866-11519
*** Use 191-11520 ***,1866-11520
*** Use 191-38430 ***,1866-38430
*** Use 191-38433 ***,1866-38433
*** Use 191-38670 ***,1866-38670
*** Use 191-38676 ***,1866-38676
*** Use 191-38677 ***,1866-38677
*** Use 191-38681 ***,1866-38681
*** Use 191-38682 ***,1866-38682
*** Use 191-38686 ***,1866-38686
GRATEFUL WOOD 12X2,1811-39310
GREAT TEACHER ON BEE HIVE,191-12015
GREEN METAL ANTIQUED TOOL BOX,195-70028
GREEN METAL BIRDHOUSE WITH BIRD ON PERCH,195-70033
GREY BOX WITH ROPE HANDLES,191-70047
GROW A LIFE OF LOVE WOOD PIECE,191-39406
GROW JOY FLOWER CART,191-12211
GROWN ON THE FAMILY FARM 8X8 SHADOW BOX,1811-39400
GROWN ON THE FAMILY FARM CERAMIC PIECE PUT ON 71686,1811-39410
HAVE A BEAUTIFUL DAY CANDLE HOLDER,191-12142
HAVING SOMEWHERE TO GO WALL BOX,1811-39155
HEARTBEAT OF FAMILY MOM CANDLE,191-20043
HEARTBEAT OF FAMILY MOM CERAMIC CROCK,191-39502
HELLO BEAUTIFUL HAPPY WALL BOX,191-39118
HELLO TO SPRING PLAQUE WITH FLOWERS,191-12024
HERE'S TO A BEAUTIFUL LIFE 2D PLAQUE,191-12138
HOLLYBERRY CHRISTMAS CANDLE W/RED TRUCK 12 OZ JAR,188-20013
HOME 12X8 SHADOW BOX,191-39371
HOME FLOOR MAT,191-20033
HOME IS THE NICEST WORD FLOOR MAT,1811-20036
HOME SWEET HOME 4X18 SHADOW BOX,1811-39394
HOME WITH WINDMILL,191-12266
HOME WITH WREATH,191-12230
HOMEGROWN HAPPINESS 8X8 ON CORRUGATED METAL 10X10,1811-39397
HOMEGROWN HAPPINESS CANDLE,191-20050
HOMEGROWN HAPPINESS CERAMIC CROCK CANDLE,1811-20050
HOMEGROWN HAPPINESS CERAMIC PIECES PUT ON 71682,1811-39409
HOPE BLOOMS IN THE SPRING WALL BOX,191-39119
HOPE IS THE HEARTBEAT WALL SIGN,193-39291
HOT APPLE PIE (12 OZ,183-20018
I JUST WANT TO HANG WALL BOX,1811-39238
IN THE GARDEN BOX WITH HANDLE,191-70056
IT'S THE MOMENTS TOGETHER THAT CHANGE US FOREVER,191-39298
JOY IN THE LITTLE THINGS BOX,193-39286
KEEP GOING BOULDER WITH SUCCULENT,191-11721
KINDNESS SHOWN TEACHER CANDLE,191-20045
KINDNESS SHOWN TEACHER CERAMIC CROCK,191-39504
LAND THAT I LOVE AMERICA SIGN,191-12262
LAND THAT I LOVE TRUCK,191-12275
LARGE CREAM RUSTIC CROCK,1866-39009
LARGE CURRUGATED METAL CONTAINER,195-70018
LARGE ENAMEL MILK JUG,195-70002
"LARGE GALVANIZED ""ANTIQUES"" SIGN",195-70027
LARGE METAL BIRDFEEDER WITH GREEN ROOF,195-70037
LET'S ROOT MASON JAR WITH SUCCULENT,191-11716
LIFE DOESN'T HAVE TO BE PERFECT WALL BOX,1811-39143
LIFE IS BETTER MILK JUGS WITH FLOWERS,191-12215
LIFE YOU LOVE FLOWER POT,191-12208
LITTLE FRIENDS 4X4 WALL BOX,191-39375
LITTLE THINGS CANDLE,191-20047
LITTLE THINGS CROCK,191-39268
LIVE SIMPLY,191-39407
LIVE WITH LOVE WOOD SIGN,1811-39231
LOCALLY GROWN,1811-39411
LOCALLY GROWN 8X8 ON CORRUGATED METAL 10X10,1811-39398
LONG GALVANIZED BIRD FEEDER,195-70020
LONG GALVANIZED CONTAINER,195-70015
LORD IS MY ROCK BOULDER WITH SUCCULENT,191-11717
LORD UPROOTS' SUCCULENT WALL PLAQUE,191-38825
LOVE 12X8 SHADOW BOX,191-39372
LOVE ALL TRUST A FEW DO WRONG TO NONE,191-39296
LOVE CAT SIGN,191-39499
LOVE GROWS HERE PLANT,191-11712
LOVE IS A FOUR LEGGED WORD DOG WALL BOX,1811-39337
LOVE IS A FOUR-LEGGED DOG FLOOR MAT,1811-20031
LOVE SIGN WITH PAW PRINT,1811-12204
LOVE WHAT YOU HAVE WALL BOX,1811-39156
LOVE WITH WREATH,191-12231
LOVE YOU TO THE MOON PLAQUE WITH CAT,1811-12198
LOVE YOU TO THE MOON PLAQUE WITH DOG,1811-12200
"MASON JAR WITH ""FAITH"" SIGN",191-12170
"MASON JAR WITH ""FAMILY"" SIGN",191-12171
"MASON JAR WITH ""LOVE"" SIGN",191-12169
"MASON JAR WITH ""WILL WITH MY SOUL"" SIGN",191-12179
MAY THESE WALLS KNOW JOY HOME/BB7834,191-39283
MAY YOUR DAY BE FILLED WITH JOY FLOWERS IN VASE,191-12140
MEDIUM BROWN CROCK,191-39272
MEDIUM CREAM CROCK,191-39275
MERRY CHRISTMAS' LED WALL BOX SIGN,168-72315
METAL BIRDHOUSE WITH DRAWER,195-70034
METAL PEDESTAL,195-70012
MOM WREATH 6 X 6 X 1 1/2 WALL BOX,191-39333
MOO COW,1811-12258
MY BEST FRIEND PLAQUE WITH CAT,1811-12199
MY BEST FRIEND PLAQUE WITH DOG,1811-12201
MY CAT LOVES ME WALL BOX,1811-39237
MY DOG LOVES ME WALL BOX,1811-39234
MY DOG WOOD SIGN,1811-39232
NANA WREATH,191-39334
NEST,191-39219
NO MATTER WHAT FRIEND CANDLE,191-20041
NO MATTER WHAT FRIEND CROCK,191-39500
NUMBER 2 PUT THIS ARTWORK ON OUR 71682,191-39281
NUMBER 5 FLOWER FOR CROSSROADS LID,191-12136
NURSE WREATH 6 X 6 X 1 1/2 WALL BOX,191-39330
OB-NEVER ENOUGH ON WATERMELON (M2,135-88032
OH\comma WHAT A BEAUTIFUL DAY,191-39295
OINK PIG,1811-12259
ON THE FARM 8X8 SHADOW BOX,1811-39402
OUR FAMILY,1811-39152
PATIENCE IS A VIRTUE AMISH MOTHER AND SON,191-12190
PEACH APPLE CRISP (12 OZ,183-20025
PEOPLE WHO LOVE YOU FAMILY SHADOW BOX,193-39292
PILGRIM FAMILY W/PUMPKINS (M2) *DSC*.,177-11268
PINEAPPLE CANDLE,1811-20048
PINEAPPLE CERAMIC CROCK,1811-39113
PINEAPPLE UPSIDE-DOWN CAKE (12 OZ,183-20024
PINEAPPLE WELCOME,1811-12115
POSITVE THOUGHTS SUCCULENT IN CONTAINER,191-11713
RELAX,1811-39135
RESIN,1811-12143
ROOSTER ON AMERICANA BOX,191-12270
ROOSTER PIG COW STACKED ANIMALS,1811-12325
RULES THE HIVE' BLOCK W/HIVE/BEE,191-11519
RUSTIC ANGEL PRE-PACK,191-00310
S/2 BUNNIES HOLDING FLOWERS,191-12019
S/2 CHICKS ON EASTER EGGS,191-12020
S/2 PILGRIM BOY/GIRL W/PUMPKINS (M2).,177-11271
S/3 AMERICANA STARS,191-12095
S/3 LOVE/FAITH/FAMILY PITCHERS,191-12102
S/3 PUMPKINS WITH BABY'S BREATH.,186-11978
SAGE & CITRUS (12 OZ,183-20020
SECRET TO HAVING IT ALL WALL BOX,1811-39157
SET OF 12 DISTRESSED TEXT CANDLES (4 each: pineapple upside-down cake\comma peach apple crisp\comma sweat pear crisp),183-20023
SET OF 12 FALL CANDLES (4 each: farmhouse\comma pumpkin spice\comma orange clove),186-20027
SET OF 12 FARMHOUSE CANDLES (4 each: buttered maple syrup\comma grandma’s kitchen\comma hot apple pie),183-20015
SET OF 12 SUCCULENT CANDLE COLLECTION(4 each: eucalyptus mint\comma basil lime\comma sage citrus),183-20019
SET OF 2 GALVANIZED CONTAINERS WITH WOOD BASE,195-70021
SET OF 2 LONG SKINNY GALVANIZED CONTAINERS WITH HANDLES,195-70022
SET OF 2 TALL SCALLOPED VASES,195-70025
SET OF 24 CANDLES..1 - $132 / 4 - $125.4 / 8 - $118.8,183-20000
SET OF 3 CATS WITH HEARTS,1811-12196
SET OF 3 DOGS WITH HEARTS,191-12203
SET OF 3 GALVANIZED VASES,195-70014
"SET OF 3 NESTED ""FARM SWEET FARM"" BOXES",191-70053
"SET OF 3 NESTED ""GARDEN"" BOXES",191-70054
SET OF 3 WOOD BOXES,191-70051
SISTER WREATH 6 X 6 X 1 1/2 WALL BOX,191-39335
SMALL BROWN CROCK,191-39271
SMALL BROWN CROCK CANDLE,191-20055
SMALL CREAM CROCK,191-39274
SMALL CREAM CROCK CANDLE,191-20057
SMALL CREAM RUSTIC CROCK,1866-39008
SMALLEST THINGS,1811-39142
SNOWBERRY CHRISTMAS CANDLE W/RED TRUCK 12 OZ JAR,188-20014
SORRY\comma I CANT,191-39367
SPRING,191-39214
SPRING BLOOMS PRE-PACK,191-00311
SPRING FORWARD BUNNY WALL BOX,191-39117
SPRING MAKES THE WORLD WALL BOX,191-39218
SPRING TRUCKS PRE-PACK,191-00312
STACKED FARM ANIMALS,1811-12256
START TODAY WITH GRATITUDE CANDLE HOLDER,1811-12119
STRIPES AND STARS WALL BOX,191-39505
SUCCULENT JAR LID,191-12130
SWEET PEAR CRISP (12 OZ,183-20026
SWEETEST SISTER CANDLE,191-20044
SWEETEST SISTER CEAMIC CROCK,191-39503
TAKE HAPPINESS WITH YOU BIKE,191-12213
TALL METAL PEDESTAL,195-70013
TEACHER,191-12016
TEACHER WREATH 6 X 6 X 1 1/2 WALL BOX,191-39336
TEACHER: COFFEE BE STRONG PLAQUE,191-12018
TEACHERS TOUCH LIVES PLAQUE,191-12012
TEACHING: STEAL FROM HOME PLAQUE,191-12017
TEAL/BURGANDY CANDLE,1811-20049
TEAL/BURGANDY CERAMIC CROCK,1811-39115
THANK YOU' BADGE W/EASEL (M4),1711-11627
THANKFUL' PLAQUE W/PILGRIMS (M4) *DSC*,177-11273
THANKS FOR HELPING' SUCCULENT BOX,191-38798
TILE HEART HAPPILY WOOD PIECE,191-39359
TILE HEART HOME WOOD PIECE,191-39360
TILE SIGN ENJOY WOOD PIECE,191-39361
TILE SIGN JOY WOOD PIECE,191-39362
TIME IS PRECIOUS WASTE IT WISELY,1811-12114
TO TEACH BANNER WITH CRAYONS,191-12013
TODAY IS A GOOD DAY FOR A GOOD DAY,1811-39314
TOGETHER FOREVER AMISH COUPLE,191-12191
TOGETHER WE MAKE STACKED BLOCK SIGN,1811-39146
TREASURE EVERY MOMENT STACKED BLOCK SIGN,1811-39145
TWO TIERED HANGING ENAMEL DISPLAY,195-70069
TWO TIERED METAL DISPLAY PIECE,195-70030
UNCONDITIONAL LOVE SPOKEN HERE DOG WALL BOX,1811-39339
WALLS KNOW JOY BOX,193-39283
WE ARE CRAZY BLESSED BOX,193-39285
WE ARE CRAZY BLESSED/BB7832,191-39285
WE DONT KNOW THEM ALL WALL BOX,191-39244
WELCOME FLOOR MAT WITH SUCCULENTS,191-20034
WELCOME SIGN WITH THREE BOTTLES EXCLUDE PINEAPPLES,1811-39328
WELCOME WITH PINEAPPLE WALL SIGN,1811-39140
WELCOME WOOD 12X2,1811-39308
WHERE AT LEAST I KNOW,191-39245
WHITE ENAMEL CONTAINER WITH HANGER,195-70001
WHITE ENAMEL VASE,195-70004
WHO RESCUED WHO CAT WALL BOX,1811-39340
WOOD CARRIER WITH 6 COMPARTMENTS,191-70055
WREATH CANDLE HOLDER,191-12232
X'BE BLESSED' BLOCKS W/ANGEL (M4,176-11242
X'ME AND YOU' HEART ON BASE (M4,1612-11163
XEASTER BUNNY ON DUTY' BLOCKS W/BUNNY (M4,161-10426
YOU ARE SUNSHINE PLAQUE WITH BUNNY,191-12023
YOU CAN'T CHOOSE YOUR FAMILY WALL BOX,1811-39153
YOU GOT THIS 8X8 SHADOW BOX,1811-39317
YOU HAD ME AT MEOW CAT FLOOR MAT,1811-20032
YOU HAD ME AT MEOW PINT JAR CANDLE,191-20069
YOU HAD ME AT MEOW WALL BOX,1811-39342
YOU'RE ONE OF A KIND FRIEND BOX,191-39284
YOU'RE STUCK WITH ME HEART BOULDER WITH CACTUS,191-11720
number 1 put this artwork on our 38107,191-39280
“FAITH” ANGEL,191-12101
“FALL” PINT JAR ..CANDLE (FARMHOUSE 12 OZ,186-20028
“FAMILY BOX” WITH ROPE HANDLES,191-39326
“FAMILY” ANGEL,191-12097
“GRATEFUL” PINT JAR CANDLE (PUMPKIN SPICE 12 OZ,186-20029
“HAPPY HARVEST” PINT JAR CANDLE (ORANGE CLOVE 12 OZ,186-20030
“HOPE” ANGEL,191-12099
“I’D GO CRAZY WITHOUT YOU” SISTER ANGEL,191-12146
“LIVE LOVE HEAL”,191-12154
“LOVE YOU A BUNCH”,191-12152
“LOVE” ANGEL,191-12100
"“SIMPLY THE BEST” GRANDMA ANGEL""",191-12156
“TEACHER” ANGEL,191-12096
“WORLDS BEST,191-12158
“YOU ARE A SHINING STAR IN MY LIFE” FRIEND ANGELL,191-12144
“YOUR MY SUNSHINE” DAUGHTER ANGEL,191-12148
