'@ @ [1/4] | Clear Quartz Woven Necklace',80000A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[2/12] | Silver Metal Flower Ring',80113A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'2""Dia.'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Blue Crunchie Bracelet',80114A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][2/12] | Silver Chain Hoops Necklace and Earring Set',80115A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'17""L w/4"" extender PENDANTL 3""L x 6""W EARRINGS: 2.25""L'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Denim Flower Necklace',80120A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,'',,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver Heart Gem and Bead Necklace and Earring Set',80123A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver Black Cross Pendant',80131A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'3.5""L x 2""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[1/12] | 21 Inch Clear and Black Link Necklace and Earring Set',80133A-BKCL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$17.49,,,'',,1,$34.99,12,$33.25,,,1,K&K400,K&K160,,,,,,
'[1/12] | 21 Inch Clear and Silver Link Necklace and Earring Set',80133A-CLSI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$17.49,,,"'20""L w/3"" extender EARRINGS 3""L'",,1,$34.99,12,$33.25,,,1,K&K400,K&K160,,,,,,
'[2/12] | Gold Caviar Big Stone Ring',80139A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,"'1.25""L'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Caviar Multi Big Stone Ring',80139A-MULTI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'1.25""L'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Caviar Big Stone Ring',80139A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'1.25""L'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Silver Watch Key Lock Charm Earrings',80141A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,$4.25,,,'',,2,$8.50,12,$8.10,,,2,K&K400,K&K160,,,,,,
'[2/12] | Linear Black Stone Earrings',80146A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,'',,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Diamond Shape Gold Mesh Earrings',80152A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,'',,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver 6 Row Mesh Stretch Bracelet',80157A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2""W x 2.25""Dia.'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Roses with Stone Stretch Bracelet',80161A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,"'1""W x 2.25""Dia.'",,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Zipper Texture Hinge Bangle Bracelet',80180A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'0.5""W x 2.25""Dia.'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | 23 Inch Gold Ring Link Necklace and Earring Set',80182A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'23""L w/3"" extender EARRINGS: 1.75""L'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold and Black Stone Owl Stretch Ring',80228A-GDBK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold and Multi Stone Owl Stretch Ring',80228A-MULTI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'1.5""H x 0.75""Dia.'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver and Black Stone Owl Stretch Ring',80228A-SIBK,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Black Epoxy Stone Stretch Ring',80229A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'1.25""Dia.'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Black Glass Bead Stretch Ring',80236A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Black Stone Flower Stretch Bracelet',80240A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'2.5""W x 2.5""Dia.'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Multi Stones 3 Row Stretch Bracelet',80244A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'1""W x 2.5""Dia.'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Bronze Multi Chain with Charms Necklace and Earring Set',80247A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L PENDANT: 3""L EARRINGS: 1.5""L'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Marcasite Handbag Bracelet',80250C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'8""L x 1.5""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Key and Heart Theme Charm Bracelet',80259A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,"'7.5""L x 1.5""W'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Denim Western Theme 18 Inch Necklace and Earrings Set',80277A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Large Bead and Ring Necklace',80280A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,"'18""L w/3"" extender'",,2,$22.50,12,$21.40,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver Mini Hearts Stretch Bracelet',80281A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1.75""W x 2""Dia.'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Gold Mini Hearts Stretch Bracelet',80281B,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1.75""W x 2""Dia.'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Copper/Rose Gold Mini Hearts Stretch Bracelet',80281C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,"'1.75""W x 2""Dia.'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Silver Rope Heart Necklace',80291A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'16""L PENDANT: 3""L x 1.5""W'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'@ @ [1/12] | Silver Stone Small Cuff Bracelet',80294A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1.5""W x 2.5""Dia.'",,1,$19.99,12,$19.00,,,1,K&K400,K&K160,,,,,,
'@ @ [2/12] | Gunmetal and Gray Stone Stretch Bracelet',80295A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1.5""W x 2.5""Dia.'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Green Stone Stretch Bracelet',80295A-GR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Copper/Rose Gold And Stone Cuff Stretch Bracelet',80312C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,'',,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Silver Disc Stone Necklace',80313A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,$8.75,,,"'18.5""L w/3"" extender'",,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear Rose Ring',80319A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.25,,,'',,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass Rose Ring',80320A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'1""Dia.'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Rose Ring',80320A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,"'1""Dia.'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Stone Hoop Earrings',80337A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[1/12] | Silver Disc Stone Charm Necklace',80347A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,"'34""L w/3"" extender'",,1,$22.50,12,$21.40,,,1,K&K400,K&K160,,,,,,
'[2/12] | Silver Bow Heart and Tooth Necklace',80349A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,'',,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | John 3:16 Bracelet',80354F-BX,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.25,,,'',,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[2/12] | Heart Double Pendant Necklace',80365C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,'',,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [1/4] | Moonstone Flower Bib Necklace with Black Crystals and Sterling S',80369A-BKCL,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$74.99,4,$71.25,,,1,K&K400,K&K160,,,,,,
'[1/4] | Multi Strand Bulk Necklace with Pink and Clear Quartz Crystal Beads',80369A-PK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$49.99,,,"'Grad. Sizes 20""L'",,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'@ @ [1/4] | Chal Druzy and Black Agate Necklace',80371A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$149.99,4,$142.50,,,1,K&K400,K&K160,,,,,,
'[3/12] | Yellow Gower Earrings',80375A-YE,JWL030,20171123,In stock & shipping checked (Nov 22nd),$0.99,,,'',,3,$1.99,12,$1.90,,,3,K&K400,K&K160,,,,,,
'[2/12] | Blue Lisbon Necklace',80376A-BL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear Lisbon Necklace',80376A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Fuchsia Lisbon Necklace',80376A-FU,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Smoky Lisbon Necklace',80376A-SM,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.95,,,'',,2,$9.90,12,$9.43,,,2,K&K400,K&K160,,,,,,
'[2/12] | Yellow Lisbon Necklace',80376A-YE,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Black York Necklace',80377A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear York Necklace',80377A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Yellow York Necklace',80377A-YE,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear Rees Necklace',80378A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Yellow Rees Necklace',80378A-YE,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[3/12] | Blue Rees Bracelet',80379A-BL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,'',,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/12] | Clear Rees Bracelet',80379A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,'',,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/12] | Lime Rees Bracelet',80379A-LM,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,'',,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'[2/12] | Black York Bracelet',80380A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.49,,,'',,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Blue York Bracelet',80380A-BL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,'',,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Yellow York Bracelet',80380A-YE,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.49,,,'',,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | White and Clear Taro Bracelet',80382A-WHCL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,'',,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[1/4] | Aurora 17.5 Inch Long Necklace',80383A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | Necklace',80385A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$49.99,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | Blue Toffee Necklace',80386A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | Cinnamon Pretzel Necklace',80387A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$49.99,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | Taro Dance Necklace',80389A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | Necklace',80390A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | Panofy Necklace',80391A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'@ @ [1/4] | Necklace',80392A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$74.99,4,$71.25,,,1,K&K400,K&K160,,,,,,
'[1/4] | Necklace',80393A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$49.99,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | Pebbles Necklace',80394A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$44.99,,,'',,1,$89.99,4,$85.50,,,1,K&K400,K&K160,,,,,,
'[2/12] | F Style Moss Agate Bracelet',80406A-GR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Cushion Faceted Black Jasper Bracelet',80408A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.99,,,'',,2,$15.99,12,$15.20,,,2,K&K400,K&K160,,,,,,
'[2/12] | Twist Bamboo Bracelet Jasper',80409A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Brazil Sodalite Saddle Bracelet',80410A-PU,JWL030,20171123,In stock & shipping checked (Nov 22nd),$9.99,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Mookaite Saddle Bracelet',80410A-YERD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver and Black Bead Bracelet',80418A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'2.25""Dia.'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Clear Crystal and Silver Flower Bracelet',80419A-CL,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'1.75""Dia.'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Black and White Bead Bracelet',80422A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver and Pink Bead Bracelet',80423A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Black Rose Bead Bracelet',80429A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.49,,,'',,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver and Black Rose Bead Bracelet',80429A-BKSI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.49,,,"'2""W x 2.5""Dia.'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver and Large Crystal Bracelet',80430A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'2""W x 2.25""Dia.'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Rose and Crystal Charm Necklace',80448A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,"'20""L w/3"" extender PENDANT: 4.5""L'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Buckle Bracelet',80461A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'1.5""W x 2""Dia.'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | White Stone Heart Earrings',80465A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,'',,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'[2/12] | Summer Gray Collection Looped Beads Layered Necklace',80484C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Concave White Shell Chip Resin Bangle Bracelet',80485A-WH,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,'',,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Concave Black Shell Chip Resin Bangle Bracelet',80485B-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | 1.5 Inch Black and Red Tree Motif Laminated Bangle Bracelet',80486B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,'',,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'[2/12] | 1.5 Inch Natural Banana Laminated Bangle Bracelet',80486C,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.25,,,'',,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
