"Dips, Spreads, & Other Mixes ",Item# ,,QTY ,,,U/M ,,,,,Price ,Amt
Mini Southern Style Cajun Dip Mix ,10171,Mini Dips & Spreads ,,,,1 CS ,,,,1,19.8,
Mini Farmhouse Ranch Dip Mix ,10152,Mini Dips & Spreads ,,,,1 CS ,,,,1,19.8,
Italian Bread Dipping Mix ,10090,Bread Dipping Mixes ,,,,1 CS ,,,,1,39,
Pesto Parmesan Bread Dipping Mix ,10091,Bread Dipping Mixes ,,,,1 CS ,,,,1,39,
Zesty Bread Dipping Mix ,10088,Bread Dipping Mixes ,,,,1 CS ,,,,1,39,
Black Bean Soup ,10157,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
Chili Soup ,10044,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
Farmhouse Bean Soup ,10118,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
Mixed Bean Soup ,10011,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
"Potato Soup, Creamy ",10050,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
Split Pea Soup ,10040,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,33,
Apple Cinnamon Bread ,11010,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Apple Cider Bread ,11012,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
"Beer Bread, Classic ",11002,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Cranberry Pumpkin Bread ,11011,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Corn Bread ,11001,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Everything Beer Bread? ,11013,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Garlic Beer Bread ,11007,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Italian Herb Beer Bread ,11003,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Jalapeño Corn Bread ,11008,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Onion Dill Beer Bread ,11004,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Pumpkin Bread ,11009,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Sweet Bread ,11006,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
Whole Wheat Beer Bread ,11005,Soup & Bread Mixes ,,,,"1/2
CS ",,,,1,30,
No Bake Caramel Cheesecake Mix ,10082,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Lemon Cheesecake Mix ,10084,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Key Lime Cheesecake Mix ,10156,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Peanut Butter Cheesecake ,10151,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Pumpkin Cheesecake Mix ,10085,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Rasp. Bliss Cheesecake Mix ,10113,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Lemon Rasp. Cheesecake Mix? ,10164,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Strawberry Cheesecake Mix ,10086,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Toffee Apple Cheesecake Mix ,10155,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Triple Choc. Cheesecake Mix ,10083,No Bake Cheesecake Mixes ,,,,"1/2
CS ",,,,1,29.4,
No Bake Turtle Cheesecake Mix ,10094,No Bake Cheesecake Mixes ,,,,"1/
CS ",,,,1,29.4,
Chilled Dill Pickle ,10026,Pickle Mixes & ETC. ,,,,1 CS ,,,,1,39,
IceBox Pickle ,10007,Pickle Mixes & ETC. ,,,,1 CS ,,,,1,39,
Mom's Creamy Coleslaw ,10146,Pickle Mixes & ETC. ,,,,1 CS ,,,,1,39,
GingerBabies® Cookie Mix Kit ,10215,Baking Mixes & ETC. ,,,,"1/2
CS ",,,,1,39,
GingerKids® Cookie Mix Kit ,10015,Baking Mixes & ETC. ,,,,"1/2
CS ",,,,1,39,
GingerKids® Cookie Mix Refill ,10021,Baking Mixes & ETC. ,,,,"1/2
CS ",,,,1,27,
Nutmeg Grater/Whole Nutmegs ,30050,Baking Mixes & ETC. ,,,,1 CS ,,,,1,60,
"Lemonade Mix, Front Porch ",11025,Drink Mixes & Enhancers ,,,,1 CS ,,,,1,39,
"Lemonade Mix, BULK 5lb Container ",11025B ,Drink Mixes & Enhancers ,,,,EA ,,,,1,30,
Mulled Cider Spice ,13009,Drink Mixes & Enhancers ,,,,1 CS ,,,,1,39,
Strawberry Lemonade Mix ,11026,Drink Mixes & Enhancers ,,,,1 CS ,,,,1,39,
Strawberry Lemonade Mix BULK 5lb ,11026B ,Drink Mixes & Enhancers ,,,,EA ,,,,1,33,
Tea'Le'Mo Drink Mix ,11027,Drink Mixes & Enhancers ,,,,1 CS ,,,,1,39,
Tea'Le'Mo Drink Mix BULK 5lb ,11027B ,Drink Mixes & Enhancers ,,,,EA ,,,,1,33,
Snowman Soup ,11020,Drink Mixes & Enhancers ,,,,1 CS ,,,,1,39,
Reusable Ice Cubes 45 Ct. ,95115,Display Items and Odds & Ends ,,,,1PKG ,,,,1,9,
Dip Chiller Box (3 Dip Server) ,95002,Display Items and Odds & Ends ,,,,EA ,,,,1,43,
In-Store Sampling Starter Kit w/Chiller ,15107,Display Items and Odds & Ends ,,,,1 SET ,,,,1,78,
Plastic Cups (for Dip Chiller) 50 Ct. ,95002C ,Display Items and Odds & Ends ,,,,1PKG ,,,,1,8,
Tasting Spoons 3000 Ct. ,80019,Display Items and Odds & Ends ,,,,1PKG ,,,,1,42,
Wood Counter Spin Rack - 12 Peg ,95001A ,Display Items and Odds & Ends ,,,,EA ,,,,1,59,
Wood Counter Spin Rack - 20 Peg ,95001B ,Display Items and Odds & Ends ,,,,EA ,,,,1,69,
Peg for Spin Rack ,95001P ,Display Items and Odds & Ends ,,,,EA ,,,,1,2,
Hangtabs - 36 pc sheet ,95009S ,Display Items and Odds & Ends ,,,,1 sht ,,,,1,0.75,
Hangtabs Mailed Separately 108 Ct. ,95009M ,Display Items and Odds & Ends ,,,,1PKG ,,,,1,4.5,
Recipe Cookbooklet ,95802,Display Items and Odds & Ends ,,,,1 CS ,,,,1,18,
Recipe Sheets (as available) ,95830,Display Items and Odds & Ends ,,,,1PKG ,,,,1,1,
Private Label Set-Up Fee ,95030,Display Items and Odds & Ends ,,,,EA ,,,,1,275,
Postcards 100 Ct. ,71___ ,Display Items and Odds & Ends ,,,,1PKG ,,,,1,9,
Tag Clips ,80058,Display Items and Odds & Ends ,,,,"1/2
CS ",,,,1,3,
Lids for Plastic Cups 100 Ct. ,80029L ,Display Items and Odds & Ends ,,,,1PKG ,,,,1,7,
"Display Basket, White Plastic ",80030,Display Items and Odds & Ends ,,,,EA ,,,,1,2,
"Gloves, Poly Disposable 100 Ct. ",80031,Display Items and Odds & Ends ,,,,1PKG ,,,,1,2,
"Tongs, Metal Serving ",80117,Display Items and Odds & Ends ,,,,EA ,,,,1,2,
Lids & Hangtabs for 9oz Cups 100 Ct. ,80029,Display Items and Odds & Ends ,,,,1PKG ,,,,1,11.5,
Inventory Cards (Pack of 20) ,95843,Display Items and Odds & Ends ,,,,1PKG ,,,,1,1,
Mini Dipper Special ,12000,Special Packs & Kits (No Dip Substitutions) ,,,,EA ,,,,1,285,
Little Dipper - Rack Special ,12001,Special Packs & Kits (No Dip Substitutions) ,,,,EA ,,,,1,499,
Big Dipper - Rack Special ,12003,Special Packs & Kits (No Dip Substitutions) ,,,,EA ,,,,1,799,
"Catnip, All Natural ",20023,Smellables (Non-Edible) ,,,,1 CS ,,,,1,39,
DeStuffy® ,20021,Smellables (Non-Edible) ,,,,1 CS ,,,,1,60,
DeStuffy® Refresher Oil ,20020,Smellables (Non-Edible) ,,,,1 CS ,,,,1,54,
Apple Pie ,20010,Smellables (Non-Edible) ,,,,1 CS ,,,,1,39,
Christmas ,20011,Smellables (Non-Edible) ,,,,1 CS ,,,,1,39,
Gingerbread ,20012,Smellables (Non-Edible) ,,,,1 CS ,,,,1,39,
"Stove Top Scents, Assortment ",X50051 ,Smellables (Non-Edible) ,,,,1 CS ,,,,1,39,
