[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
[u'8027'],8x18 inches,Home /|You have two hands one for helping yourself. The second for helping others,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_1_13.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'010'],3x9 inches Golf Sign,Home /|Tee Time,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/1/010.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'1401'],"""Big Box"" Sign 10"" X 39"" tall, Antique look
Black Wooden Box with White Letters",Home /|COFFEE,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/coffee_4.jpg,"['*Color Combinations', '', '-- Please Select --|White wood Box, Black Letters |Black wood Box, White Letters ']"
"[u'Custom', u'City', u'Sign', u'607', u'Board', u'size', u'-', u'Depends', u'upon', u'number', u'of', u'letters.', u'6x12,', u'14,', u'16,', u'18,', u'up', u'to', u'26', u'inches.', u'Price', u'is', u'$3.50', u'per', u'letter', u'for', u'1st', u'line,', u'plus', u'$4.00', u'flat', u'for', u'2nd', u'line', u'(12', u'letters', u'max)', u'If', u'you', u'need', u'a', u'particular', u'set', u'of', u'dimensions', u'phone', u'us:', u'888-643-1695', u'Mon', u'-', u'Fri', u'8AM', u'-', u'5PM', u'Eastern', u'time.']","Board size - 6""x12"", 14, 16, 18, up to 26 inches. Length of board depends upon number of letters requested. Price is $3.50 per letter for 1st line, plus $4.00 flat for 2nd line (12 letters max) Minimum charge is $24.00 12 letters would cost $46.00 15 letters would cost $56.50 30 letters would cost $109.00 If you need a particular set of dimensions phone us: 888-643-1695 Mon - Fri 8AM - 5PM Eastern time.

0



 ","Home /|6"" Custom City/Location Name Signs (2 lines)",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_83.jpg,"['*First Line - Enter Location Name or Wording, $3.50 per letter', '', '-- Please Select --|6 or fewer letters, numbers or characters or less |7 letters, numbers or charatcers |8 letters, numbers, or characters +$3.00|9 letters, numbers, or characters +$4.00|10 letters, numbers, or characters +$5.00|11 letters, numbers, or characters +$6.00|12 letters, numbers, or characters +$7.00|13 letters, numbers, or characters +$8.00|14 letters, numbers, or charactors +$9.00|15 letters, numbers, or characters +$10.00|16 letters, numbers, or characters +$11.00|17 letters, numbers, or characters +$12.00|18 letters, numbers, or characters +$13.00|19 letters, numbers, or characters +$15.00|20 letters, numbers, or characters +$17.00|21 letters, numbers, or characters +$19.00|22 letters, numbers, or characters +$21.00|23 letters, numbers, or characters +$23.00|24 letters, numbers, or characters +$25.00|25 letters, numbers, or characters +$27.00|26 letters, numbers, or characters +$29.00|27 letters, numbers, or characters +$31.00|28 letters, numbers, or characters +$33.00|29 letters, numbers, or characters +$35.00|30 letters, numbers, or characters +$40.00|-- Please Select --|Give me the best color combo(s) available |Crackle Cream board w/ Black text |Crackle White board w/ Black text |Cream board w/ Black text |White board w/ Black text |Black board w/ Cream text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Wedgewood Blue text |Crackle White board w/ Wedgewood Blue text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Burgundy Red board w/ Cream text |Mustard boards w/ black text |Mustard boards w/ Cream text ']"
[u'108'],3x9 inches,Home /|Gingerbread (mini),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/108.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6028'],"6x12 inches
Colors limited for sale price.",Home /|Love,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6028_2.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'5418', u'This', u'is', u'one', u'of', u'our', u'new', u'custom', u'box', u'signs.']","4""X 18"" inches Box is about 1 1/4"" deep. This is one of our new box signs! For custom signs up to 17 letters.

0",Home /|Custom Box Sign - 15 to 17 letters,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_125.jpg,"['*Custom Lettering Up to 17 letters not counting spaces or commas.', '', '-- Please Select --|Give me the best color combo(s) available |Cream box w/ Black text |Light Blue box w White text |White box w/ Black text |Black box w/ White text |Sage Green box w/ White text ']"
[u'6030'],"6x24 inches
This is my wish!",Home /|May you be in heaven before the Devil knows you died.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6030.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'6053'],"6x12 inches
Live & Laugh Together",Home /|Live & Laugh Together,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6053_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'384N', u'The', u'kids', u'are', u'always', u'Welcome', u'at', u""NANA'S."", u'A', u'perfect', u'sign', u'for', u'you.', u'We', u'also', u'have', u'""Welcome', u'to', u""Grandpa's."", u'Sign', u'384P', u'and', u'Welcome', u'to', u""Grandma's,"", u'Sign', u'384G', u'Same', u'price']","6x12 inches

0",Home /|Welcome to NANA'S,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/8/384_nana_s.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Burgundy Red board w/ Cream text ']"
[u'6017'],6x18 inches,Home /|If you can't be kind at least be vague,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6017.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'R107'],"0




6""x9"" Slat Box
Comes in White washed, Teal Washed, Yellow Washed or Gray Washed painted box",Home /|Live Love Lake,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r107.jpg,"['*Color Combinations', '', '-- Please Select --|Gray washed board w White text |Yellow washed board w White text |Teal washed board w/ White text |White washed board w Gray text ']"
[u'598'],6x9 inches,Home /|Darts,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'147'],"4x15 inches
One of our best selling signs for everyone, especially the student.",Home /|No Whining,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/147_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'Tread', u'on', u'me.', u'From', u'the', u'Revolutionary', u'War', u'Sign', u'5828']","8"" X 8""

0",Home /|Don't Tread on me.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dscn0657.jpg,"['*Color Combinations', '', '-- Please Select --|As shown Yellow Board |Cream board / Navy text |Crackle board w/ Black text |Crackle board w/ Navy text |Crackle board w/ Red text |Cream board w/ Black text |Cream board w/ Red text |White board w/ Black text |White board w/ Navy text |White board w/ Red text ']"
[u'6015'],"6x12 inches
Colors limited for sale price.",Home /|Hope,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6015_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'8008'],"8x18 inches
It's not the years in your life that count...it's the life in your years",Home /|It's not the years in your life that count...it's the life in your years,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8008.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'#963', u'6""X18""""', u'Comes', u'on', u'White', u'board', u'with', u'black', u'text,', u'White', u'board', u'with', u'Gray', u'text,', u'Black', u'board', u'with', u'White', u'text,', u'or', u'Cream', u'board', u'with', u'Black', u'text.']","6""X18"" Item #963",Home /|Mr & Mrs - Bride & Groom,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/6/963_6x18_wht_.jpg,"['*Color Choices', '', '-- Please Select --|Cream board w/ Black text |White board w/ Black text |White board w/ Gray text |Black board w/ Cream text ']"
[u'8042'],"8 X 12 inches

0",Home /|CHRISTMAS May the spirit of Christmas be forever in your heart,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_106.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |White board w/ Green text |White board w/ Red text |Give me the best color combo(s) available ']"
[u'6037'],6x18 inches,Home /|This too shall pass - AR,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6037.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'nationality', u'6""X18""', u'#951']","Any nationality
6""X18""
#951",Home /|Custom and Good Looking What More Could you Want?,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/5/951irirish_good_looking_wht_orange_lg_.jpg,"['*Nantionality', '', '-- Please Select --|Any color |Crackle |Cream |Green |White |-- Please Select --|Black |Gold - Mustard |Green |Light Blue |Natural wood - Brown |Navy Blue |Teal |White ']"
[u'8003'],8x12 inches,Home /|Dream and Achieve,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8003.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'6048'],6x24 inches,Home /|Dream as if you'll live forever live as if you'll die today - James Dean,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6048.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'8009'],"8x24 inches
We miss our youth. Good birthday sign.",Home /|Life would be infinitely happier if we could only be born at the age of 80 & gradually approach 18,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_35.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'4027'],4x30 inches,Home /|Make hay while the sun shines,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4027.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'736'],4x25 inches,Home /|Water the Seeds...Pull the Weeds,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/736.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'127', u'Please', u'choose', u'a', u'direction', u'for', u'the', u'arrow', u'in', u'the', u'space', u'provided.']","8x14 inches

Please choose a direction for the arrow in the space provided.",Home /|Pool with arrow,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/2/127.jpg,"['*Arrow Direction', '', '-- Please Select --|Arrow pointing to LEFT |Arrow pointing to RIGHT |-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available |Cream board w/Wedgewood Blue background w/Black text  ']"
"[u'132', u'You', u'know', u'someone', u'who', u'could', u'use', u'this', u'sign.']","3x9 inches You know someone who this sign would be perfect for, don't you.

0",Home /|Bah Humbug,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/132.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Crackle Cream board w/ Black text |Crackle White board w/ Black text |Black board w/ Cream text |Give me the best color combo(s) available ']"
"[u'#962', u'8""X8""', u'Comes', u'on', u'White', u'board', u'with', u'black', u'text,', u'White', u'board', u'with', u'Gray', u'text,', u'Black', u'board', u'with', u'White', u'text,', u'or', u'Cream', u'board', u'with', u'Black', u'text.']","8""X8"" Item #962",Home /|& Ampersand - Bride & Groom,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/6/962_wht_lg.jpg,"['*Color Choices', '', '-- Please Select --|Cream board w/ Black text |White board w/ Black text |White board w/ Gray text |Black board w/ Cream text ']"
"[u'#362', u'You,', u'or', u'you', u'may', u'know', u'someone', u'that', u'will', u'be', u'encouraged', u'by', u'this', u'sign.']","Sign is #362 and is 7""X30"".
You, or you may know someone that will be encouraged by this sign.",Home /|God Didn't Promise Days Without Pain......,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/d/s/dscn0559.jpg,"['*Color Combinations', '', '-- Please Select --|As shown, cream board Black text ']"
[u'443'],"6x18 inches A place to hide, drink beer and watch sports. We also have a, ""no girls allowed"" sign if you're interested ;-)

0",Home /|Dude Den,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_33.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'picture', u'frame.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" box. Fits your 4"" X 6"" photo.
Box picture frame. Handmade and hand painted by one of our artist.",Home /|Boys will be Boys,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boys_photo_box.jpg,"['*Color Combinations', '', '-- Please Select --|As shown, White box, Black text ']"
[u'4038'],"4x9 inches

0",Home /|You add the sizzle to my BACON,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4038.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Give me the best color combo(s) available |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Burgundy Red board w/ Cream text ']"
[u'4017'],"4x36 inches
Thank God! When you think about what is important, The best things in life ARE free!
Holding your loved one's hand, kisses, talking to a child, seeing your parents, holding a baby.",Home /|The best things in life are free,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_32.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'8028'],8x24 inches,Home /|Don't put off until tomorrow what you can do today,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8028.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'139'],"6x10 inches
LOVE",Home /|Love,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/139.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'916DogB', u'Your', u""Dog's"", u'Name', u'with', u'dish', u'and', u'Bone.']","0



8"" X 12"" up to 16"" depending on length of name.
Put your dog's name up over their bed or feeding dish.",Home /|Your Dog's Name,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/1/916dogb.jpg,"[""*Dog's Name"", '', '-- Please Select --|Cream Board |White Board |-- Please Select --|Blue |Green |Pink |Red ']"
"[u'907', u'Style', u'F', u'Couples', u'Name', u'and', u'Date', u'When', u'ordering', u'fill', u'in', u'the', u'first', u'names', u'and', u'the', u'date.', u'Comes', u'on', u'a', u'White', u'board,', u'or', u'a', u'Black', u'board', u'Signs', u'come', u'on', u'Pine', u'boards', u'and', u'are', u'intended', u'for', u'inside', u'use', u'only.', u'The', u'signs', u'are', u'painted', u'boards', u'in', u'either', u'White', u'with', u'black', u'letters', u'and', u'frame', u'or', u'black', u'board', u'and', u'frame', u'with', u'cream', u'letters.', u'Final', u'board', u'length', u'depends', u'upon', u'number', u'of', u'letters', u'in', u'the', u'names.', u'PLEASE', u'ENTER', u'THE', u'NAME', u'AS', u'YOU', u'WANT', u'IT', u'TO', u'APPEAR', u'ON', u'THE', u'SIGN.']","6""X18"" to 26"" depending on length of name.  One of our most popular signs.

Great gift for your family. Weddings and anniversaries. Get one for you and for your kids.

Comes on White board with black text,  White board with Gray text, Black board with White text, or Cream board with Black text.",Home /|Custom Couples Name and Date - Bride & Groom,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/lorna_ken_lg_wht.jpg,"['*First Name', '', '-- Please Select --|Cream board w/ Black Text |White board w/ Black text |White board w/ Gray text |Black board w/ Cream text ']"
"[u'735', u'Customize...', u'Fill', u'in', u'State', u'abbreviation', u'Minimum', u'order', u'of', u'6,', u'no', u'set', u'up', u'fee']","0



6""x6"" inches",Home /|I (heart) OH (any state),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/735.jpg,"['*Two letter State Abbreviation', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'384GA', u'The', u'kids', u'are', u'always', u'Welcome', u'at', u""Grammy's."", u'A', u'perfect', u'sign', u'for', u'you.', u'We', u'also', u'have', u'""Welcome', u'to', u""Grandpa's."", u'Sign', u'384P', u'and', u'Welcome', u'to', u""Grandma's,"", u'Sign', u'384G', u'Same', u'price']","6x12 inches

0",Home /|Welcome to GRAMMY'S,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/8/384_grammy_s.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Burgundy Red board w/ Cream text ']"
