32205,Stretch bracelet.,http://www.carsonhomeaccents.com/images/32205_l.jpg,Plum Mirage Beaded Strands Bracelet,32205,Stretch bracelet.,http://www.carsonhomeaccents.com/images/32205_l.jpg
16358,Ceramic magnets include 6 each of 4 designs for a total of 24 magnets per set. See item 17131 Magnet Display so you can display the magnets and increase impulse sales!,http://www.carsonhomeaccents.com/images/16358_l.jpg,"""Floral"" by Jane Maday Magnets*",16358,Ceramic magnets include 6 each of 4 designs for a total of 24 magnets per set. See item 17131 Magnet Display so you can display the magnets and increase impulse sales!,http://www.carsonhomeaccents.com/images/16358_l.jpg
1212,"Soft morning sunlight reflects off gentle yellow and white poppies in this beautiful collection. This color palette is designed to soothe and calm the spirit making it a beautiful addition to any home. Ceramic dinner plate. Microwave and dishwasher safe.

Dimensions: 10.5"" diameter",http://www.carsonhomeaccents.com/images/1212_l.jpg,"""Misty Morning"" Poppies Dinner Plate
© Shirley Novak",1212,"Soft morning sunlight reflects off gentle yellow and white poppies in this beautiful collection. This color palette is designed to soothe and calm the spirit making it a beautiful addition to any home. Ceramic dinner plate. Microwave and dishwasher safe.

Dimensions: 10.5"" diameter",http://www.carsonhomeaccents.com/images/1212_l.jpg
14005,"Our Sideways crosses are made of wood composite with silver studs and feature metallic paint.

L: 6""
H: 4""
D: 1.25""",http://www.carsonhomeaccents.com/images/14005_l.jpg,"""Home"" Sideways Cross",14005,"Our Sideways crosses are made of wood composite with silver studs and feature metallic paint.

L: 6""
H: 4""
D: 1.25""",http://www.carsonhomeaccents.com/images/14005_l.jpg
46328,"This incredible decorative flag has iridescent glitter sprinkled directly onto our industry leading Dura Soft™ fabric! The bright colors of the design show through the glitter - no design visibility is lost. These flags will make a glittery addition to any yard or landscape. Flags will sparkle as they move in the breeze!

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46328_l.jpg,GlitterTrends7#8482; Christmas Candy Garden Dura Soft™ Flag,46328,"This incredible decorative flag has iridescent glitter sprinkled directly onto our industry leading Dura Soft™ fabric! The bright colors of the design show through the glitter - no design visibility is lost. These flags will make a glittery addition to any yard or landscape. Flags will sparkle as they move in the breeze!

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46328_l.jpg
14132,"Canvas wall art has a sawtooth hanger on the back.

Dimensions: 12""H x 12""W x 1""D",http://www.carsonhomeaccents.com/images/14132_l.jpg,Close to Heart So Many Smiles Wall Art,14132,"Canvas wall art has a sawtooth hanger on the back.

Dimensions: 12""H x 12""W x 1""D",http://www.carsonhomeaccents.com/images/14132_l.jpg
46346,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46346_l.jpg,Winter Blessings Garden Dura Soft™ Flag,46346,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46346_l.jpg
30825,"Silver snake chain with extension.

Dimensions: 16""L with a 3""extension",http://www.carsonhomeaccents.com/images/30825_l.jpg,Couture Color Baby Row of Fuchsia Crystals Necklace,30825,"Silver snake chain with extension.

Dimensions: 16""L with a 3""extension",http://www.carsonhomeaccents.com/images/30825_l.jpg
18562,"Music Boxes are velvet lined, include a hand crank music mechanism and play a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing the Music Box Display item 17480. Plays ""Swan Lake"".

Height: 4""
Width: 6""
Depth: 2.5""",http://www.carsonhomeaccents.com/images/18562_l.jpg,"""Retirement Living"" Music Box
© William Mangum",18562,"Music Boxes are velvet lined, include a hand crank music mechanism and play a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing the Music Box Display item 17480. Plays ""Swan Lake"".

Height: 4""
Width: 6""
Depth: 2.5""",http://www.carsonhomeaccents.com/images/18562_l.jpg
21211,"Doorknob wine stopper has a vintage look and cork bottom. Made from resin.

Height: 3.25""
Width: 2.5""",http://www.carsonhomeaccents.com/images/21211_l.jpg,Gold Filigree Vintage Look Doorknob Wine Stopper,21211,"Doorknob wine stopper has a vintage look and cork bottom. Made from resin.

Height: 3.25""
Width: 2.5""",http://www.carsonhomeaccents.com/images/21211_l.jpg
12116,"Our Keepsake Memory Boxes are made of wood. They feature a decal on the lid with sentiments on the sides as well as metal photo tabs giving your customers the ability to place a photo on the underside of the lid!

Box Sides Read: ""They remind us of people and things we hold dear. They bring smiles, laughter, and sometimes tears. No matter what others may do or say, nothing will ever take these memories away. Memories are more than just a link to the past, sometimes they're all we have that will last.""

W: 5.25""
H: 10""
D: 9.5""",http://www.carsonhomeaccents.com/images/12116_l.jpg,"""Memories"" Keepsake Memory Box`",12116,"Our Keepsake Memory Boxes are made of wood. They feature a decal on the lid with sentiments on the sides as well as metal photo tabs giving your customers the ability to place a photo on the underside of the lid!

Box Sides Read: ""They remind us of people and things we hold dear. They bring smiles, laughter, and sometimes tears. No matter what others may do or say, nothing will ever take these memories away. Memories are more than just a link to the past, sometimes they're all we have that will last.""

W: 5.25""
H: 10""
D: 9.5""",http://www.carsonhomeaccents.com/images/12116_l.jpg
60721,"Accommodates 32 stakes, all metal construction with a powder coated finish. FREE with a $160.00 order. Order with item 63520 Peaceful Reflections Stake Assortment. *Free display program can not be combined with other discounts or specials.",http://www.carsonhomeaccents.com/images/60721_l.jpg,Peaceful Reflections Stake Display,60721,"Accommodates 32 stakes, all metal construction with a powder coated finish. FREE with a $160.00 order. Order with item 63520 Peaceful Reflections Stake Assortment. *Free display program can not be combined with other discounts or specials.",http://www.carsonhomeaccents.com/images/60721_l.jpg
56231,"Our Single Applique Flags are a great quality applique flag at an incredible value! Crafted from durable fade-resistant fabric and tightly embroidered designs - you will not see any transparent designs here!

Dimensions: 13""x18""",http://www.carsonhomeaccents.com/images/56231_l.jpg,Peaceful Nativity Large Single Applique Flag,56231,"Our Single Applique Flags are a great quality applique flag at an incredible value! Crafted from durable fade-resistant fabric and tightly embroidered designs - you will not see any transparent designs here!

Dimensions: 13""x18""",http://www.carsonhomeaccents.com/images/56231_l.jpg
14133,"Canvas wall art has a sawtooth hanger on the back.

Dimensions: 27""H x 13""W x 1""D",http://www.carsonhomeaccents.com/images/14133_l.jpg,Close to Heart Better Together Wall Art,14133,"Canvas wall art has a sawtooth hanger on the back.

Dimensions: 27""H x 13""W x 1""D",http://www.carsonhomeaccents.com/images/14133_l.jpg
30989,"This maxi skirt is available in 3 colors and has a fold over waist.

MATERIAL: 95% polyester , 5% spandex",http://www.carsonhomeaccents.com/images/30989_l.jpg,Maxi Skirt Fuchsia- EXTRA LARGE,30989,"This maxi skirt is available in 3 colors and has a fold over waist.

MATERIAL: 95% polyester , 5% spandex",http://www.carsonhomeaccents.com/images/30989_l.jpg
50035,"Growth chart includes decorative clothespin marker. Made from layered canvas. Gift bagged with peggable header card.

Dimensions: 40.75 ""H x 11.25 ""W x 0.25 ""D",http://www.carsonhomeaccents.com/images/50035_l.jpg,"Owl Growth Chart
© Jo Moulton",50035,"Growth chart includes decorative clothespin marker. Made from layered canvas. Gift bagged with peggable header card.

Dimensions: 40.75 ""H x 11.25 ""W x 0.25 ""D",http://www.carsonhomeaccents.com/images/50035_l.jpg
10905,"Our Surrounded By You memory frames are comprised of handpainted resin, burlap, glass, and metallic paint. They include an easel back for simple display purposes. Can also be the perfect addition to floral arrangements.

W: 8.25""
H: 9.5""",http://www.carsonhomeaccents.com/images/10905_l.jpg,"""Memories"" Memory Frame",10905,"Our Surrounded By You memory frames are comprised of handpainted resin, burlap, glass, and metallic paint. They include an easel back for simple display purposes. Can also be the perfect addition to floral arrangements.

W: 8.25""
H: 9.5""",http://www.carsonhomeaccents.com/images/10905_l.jpg
46270,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46270_l.jpg,Black Cat Garden Dura Soft™ Flag,46270,"Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46270_l.jpg
31630,"Faux leather trim

65% Viscose 30% Acrylic 5% Spandex",http://www.carsonhomeaccents.com/images/31630_l.jpg,V Neck Hi Lo Tunic Dark Gray L/XL,31630,"Faux leather trim

65% Viscose 30% Acrylic 5% Spandex",http://www.carsonhomeaccents.com/images/31630_l.jpg
16330,Ceramic magnets include 6 each of 4 designs for a total of 24 magnets per set. See item 17131 Magnet Display so you can display the magnets and increase impulse sales!,http://www.carsonhomeaccents.com/images/16330_l.jpg,"""Seashore"" by Paul Brent Magnets*",16330,Ceramic magnets include 6 each of 4 designs for a total of 24 magnets per set. See item 17131 Magnet Display so you can display the magnets and increase impulse sales!,http://www.carsonhomeaccents.com/images/16330_l.jpg
60160,"Message bar is made from wood, beads, and wire. Freestanding on wooden base.

Dimensions: 12.25"" L x 4.25"" H x 1"" D",http://www.carsonhomeaccents.com/images/60160_l.jpg,"Beads of Faith ""Hope"" Tabletop Message Bar",60160,"Message bar is made from wood, beads, and wire. Freestanding on wooden base.

Dimensions: 12.25"" L x 4.25"" H x 1"" D",http://www.carsonhomeaccents.com/images/60160_l.jpg
21188,"Wine stopper is made from metal and rubber. Corkscrew is made from metal and glass. Gift boxed as a set.

Dimensions: Corkscrew 6 "" , Wine Stopper 4.5 """,http://www.carsonhomeaccents.com/images/21188_l.jpg,Got Wine? Wine Stopper and Corkscrew Set,21188,"Wine stopper is made from metal and rubber. Corkscrew is made from metal and glass. Gift boxed as a set.

Dimensions: Corkscrew 6 "" , Wine Stopper 4.5 """,http://www.carsonhomeaccents.com/images/21188_l.jpg
18220,"Music Boxes are velvet lined, include a hand crank music mechanism and play a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing the Music Box Display item 17480. Plays ""Fur Elise""

Dimensions: 4 ""L x 2.5 ""H x 6 ""W",http://www.carsonhomeaccents.com/images/18220_l.jpg,Someone Special Music Box,18220,"Music Boxes are velvet lined, include a hand crank music mechanism and play a popular song! All sentiment cards can be replaced with a personal photograph. Maximize your sales by purchasing the Music Box Display item 17480. Plays ""Fur Elise""

Dimensions: 4 ""L x 2.5 ""H x 6 ""W",http://www.carsonhomeaccents.com/images/18220_l.jpg
31811,"The Kylie East/West Crossbody features a 44"" adjustable strap and a zipper enclosure. Exterior: front pocket with snap closure. Interior: one zipper pocket plust two open pockets.

Length: 10""
Height: 7""
Width: 2""",http://www.carsonhomeaccents.com/images/31811_l.jpg,The Kylie Buff East/West Crossbody,31811,"The Kylie East/West Crossbody features a 44"" adjustable strap and a zipper enclosure. Exterior: front pocket with snap closure. Interior: one zipper pocket plust two open pockets.

Length: 10""
Height: 7""
Width: 2""",http://www.carsonhomeaccents.com/images/31811_l.jpg
11212,"Figurine is made of cement.

Height: 12""
Width: 6.5""
Depth: 4.5""",http://www.carsonhomeaccents.com/images/11212_l.jpg,"12"" Always In Our Hearts Angel Figurine",11212,"Figurine is made of cement.

Height: 12""
Width: 6.5""
Depth: 4.5""",http://www.carsonhomeaccents.com/images/11212_l.jpg
15126,"Our heavenly fountains are crafted out of hand-painted resin. They feature a 6 foot cord powering an electric UL pump controlled by an on/off switch. For INDOOR USE ONLY - DO NOT exceed 1 cup of water.

W: 6""
H: 11.75""
D: 5""",http://www.carsonhomeaccents.com/images/15126_l.jpg,"""Comfort"" Heavenly Fountain",15126,"Our heavenly fountains are crafted out of hand-painted resin. They feature a 6 foot cord powering an electric UL pump controlled by an on/off switch. For INDOOR USE ONLY - DO NOT exceed 1 cup of water.

W: 6""
H: 11.75""
D: 5""",http://www.carsonhomeaccents.com/images/15126_l.jpg
64280,"Each ceramic mug comes individually packaged in it's own decorative box, complete with a magnet closure. The mug holds 14 ounces and is 4.5"" high.

Mug Reads: ""Enjoy the Ride""

Dimensions: 4.5"" H",http://www.carsonhomeaccents.com/images/64280_l.jpg,"""Enjoy the Ride"" Boxed Mug
© Kathy Middlebrook",64280,"Each ceramic mug comes individually packaged in it's own decorative box, complete with a magnet closure. The mug holds 14 ounces and is 4.5"" high.

Mug Reads: ""Enjoy the Ride""

Dimensions: 4.5"" H",http://www.carsonhomeaccents.com/images/64280_l.jpg
12203,"Comfort Ornaments are hand-painted and hand crafted pewter. They come gift boxed with a ribbon hanger and are engraveable!

Height: 4""
Width: 3.06""
Depth: .25""",http://www.carsonhomeaccents.com/images/12203_l.jpg,"Comfort Ornaments ""Lord's Prayer""",12203,"Comfort Ornaments are hand-painted and hand crafted pewter. They come gift boxed with a ribbon hanger and are engraveable!

Height: 4""
Width: 3.06""
Depth: .25""",http://www.carsonhomeaccents.com/images/12203_l.jpg
18001,"This monogram wind chime display accommodates our monogram chimes. Two tier rack at the top of the display which allows you to display the monogram sails for the chimes. This display is FREE with item 18000 Monogram Signature Series Assortment or with item 18100 30"" Monogram Signature Series Assortment. *Free display program can not be combined with other specials or offers

Dimensions: 75""H x 23""W",http://www.carsonhomeaccents.com/images/18001_l.jpg,Monogram Wind Chime Display,18001,"This monogram wind chime display accommodates our monogram chimes. Two tier rack at the top of the display which allows you to display the monogram sails for the chimes. This display is FREE with item 18000 Monogram Signature Series Assortment or with item 18100 30"" Monogram Signature Series Assortment. *Free display program can not be combined with other specials or offers

Dimensions: 75""H x 23""W",http://www.carsonhomeaccents.com/images/18001_l.jpg
31611,65% Viscose 30% Acrylic 5% Spandex,http://www.carsonhomeaccents.com/images/31611_l.jpg,Lace Bottom Sweater Tunic Soft Gray S/M,31611,65% Viscose 30% Acrylic 5% Spandex,http://www.carsonhomeaccents.com/images/31611_l.jpg
32200,"Necklace and drop earring set. 3"" extension

Length: 41""",http://www.carsonhomeaccents.com/images/32200_l.jpg,Berry Multi Strand Capiz & Pearl Necklace & Earring Set,32200,"Necklace and drop earring set. 3"" extension

Length: 41""",http://www.carsonhomeaccents.com/images/32200_l.jpg
SKU: 46543,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46543
48543",http://www.carsonhomeaccents.com/images/46543_l.jpg,"    Garden 12.5 x 18
   ",Sweet Tea Dura Soft™ Flag,SKU: 48543,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46543
48543",http://www.carsonhomeaccents.com/images/46543_l.jpg,"    Large 28 x 40
   "
SKU: 46543,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46543
48543",http://www.carsonhomeaccents.com/images/46543_l.jpg,"    Garden 12.5 x 18
   ",Sweet Tea Dura Soft™ Flag,SKU: 48543,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46543
48543",http://www.carsonhomeaccents.com/images/46543_l.jpg,"    Large 28 x 40
   "
30426,"Wear me three ways! Reversible, long sleeves.
MATERIAL: 65% Viscose 30% Acrylic 5% Spandex
Size Range: Small 4/6 Medium 8/10 Large 12/14 Extra Large 16/18",http://www.carsonhomeaccents.com/images/30426_l.jpg,Classic Remix Red Fitted Cape with Blouse – LARGE,30426,"Wear me three ways! Reversible, long sleeves.
MATERIAL: 65% Viscose 30% Acrylic 5% Spandex
Size Range: Small 4/6 Medium 8/10 Large 12/14 Extra Large 16/18",http://www.carsonhomeaccents.com/images/30426_l.jpg
46354,"This incredible decorative flag has iridescent glitter sprinkled directly onto our industry leading Dura Soft™ fabric! The bright colors of the design show through the glitter - no design visibility is lost. These flags will make a glittery addition to any yard or landscape. Flags will sparkle as they move in the breeze!

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46354_l.jpg,GlitterTrends7#8482; Christmas Camper Garden Dura Soft™ Flag,46354,"This incredible decorative flag has iridescent glitter sprinkled directly onto our industry leading Dura Soft™ fabric! The bright colors of the design show through the glitter - no design visibility is lost. These flags will make a glittery addition to any yard or landscape. Flags will sparkle as they move in the breeze!

Height: 18""
Width: 13""",http://www.carsonhomeaccents.com/images/46354_l.jpg
56273,"Our Double Appliqué Flags are leading the industry with detailed embroidery, durable construction and vibrant colors. Your customers will feel the difference of durability compared to other single appliqué flags on the market today. And the messages are readable from both sides!

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/56273_l.jpg,Give Thanks Cross Large Double Applique Flag,56273,"Our Double Appliqué Flags are leading the industry with detailed embroidery, durable construction and vibrant colors. Your customers will feel the difference of durability compared to other single appliqué flags on the market today. And the messages are readable from both sides!

Height: 48""
Width: 20""",http://www.carsonhomeaccents.com/images/56273_l.jpg
12206,"Comfort Ornaments are hand-painted and hand crafted pewter. They come gift boxed with a ribbon hanger and are engraveable!

Height: 4""
Width: 3.06""
Depth: .25""",http://www.carsonhomeaccents.com/images/12206_l.jpg,"Comfort Ornaments ""Amazing Grace""",12206,"Comfort Ornaments are hand-painted and hand crafted pewter. They come gift boxed with a ribbon hanger and are engraveable!

Height: 4""
Width: 3.06""
Depth: .25""",http://www.carsonhomeaccents.com/images/12206_l.jpg
10067,"This wall décor piece is made of wood composite and includes a sawtooth hanger.

W: 15.5""
H: 19.5""
D: 0.75""",http://www.carsonhomeaccents.com/images/10067_l.jpg,"""Let Your Faith"" Wall Décor",10067,"This wall décor piece is made of wood composite and includes a sawtooth hanger.

W: 15.5""
H: 19.5""
D: 0.75""",http://www.carsonhomeaccents.com/images/10067_l.jpg
31170,"Summer bold brights and water colored inspired polyblends for easy wear.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31170_l.jpg,Kaleidoscope Turquoise Cardigan with Lace Back Detail -S/M,31170,"Summer bold brights and water colored inspired polyblends for easy wear.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31170_l.jpg
63008,"Crafted from metal, colorful beads, and faux gems. Inlay is enamel with a metallic finish.

Dimensions: 26""L x 4"" diameter",http://www.carsonhomeaccents.com/images/63008_l.jpg,Pewterworks™ Crosses Chimes,63008,"Crafted from metal, colorful beads, and faux gems. Inlay is enamel with a metallic finish.

Dimensions: 26""L x 4"" diameter",http://www.carsonhomeaccents.com/images/63008_l.jpg
31234,"Summer bold brights and water colored inspired polyblends for easy wear.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31234_l.jpg,Kaleidoscope Purple Sleeveless Blouse with Lace Trim - LARGE,31234,"Summer bold brights and water colored inspired polyblends for easy wear.

MATERIAL: 95% viscose , 5% spandex",http://www.carsonhomeaccents.com/images/31234_l.jpg
SKU: 46537,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46537
48537",http://www.carsonhomeaccents.com/images/46537_l.jpg,"    Garden 12.5 x 18
   ",Hope Anchors Dura Soft™ Flag,SKU: 48537,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46537
48537",http://www.carsonhomeaccents.com/images/46537_l.jpg,"    Large 28 x 40
   "
SKU: 46537,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46537
48537",http://www.carsonhomeaccents.com/images/46537_l.jpg,"    Garden 12.5 x 18
   ",Hope Anchors Dura Soft™ Flag,SKU: 48537,"This flag is inspired by the top-selling Southern Couture T-Shirt line!
Our revolutionary Dura Soft™ fabric is remarkably soft yet extremely durable and enhances the rich, vibrant colors of each design. Set your store apart by selling FlagTrends™, where all of the messages are readable from both sides! One touch is all you need to ""Feel the Difference.""

46537
48537",http://www.carsonhomeaccents.com/images/46537_l.jpg,"    Large 28 x 40
   "
30448,"Slim dress with oval neckline.
MATERIAL: 65% Viscose 30% Acrylic 5% Spandex
Size Range: Small 4/6 Medium 8/10 Large 12/14 Extra Large 16/18",http://www.carsonhomeaccents.com/images/30448_l.jpg,Classic Remix Gray Slim Dress – SMALL,30448,"Slim dress with oval neckline.
MATERIAL: 65% Viscose 30% Acrylic 5% Spandex
Size Range: Small 4/6 Medium 8/10 Large 12/14 Extra Large 16/18",http://www.carsonhomeaccents.com/images/30448_l.jpg
22332,"These candlesticks are made of glass.

H: 4""",http://www.carsonhomeaccents.com/images/22332_l.jpg,Glass Candlesticks,22332,"These candlesticks are made of glass.

H: 4""",http://www.carsonhomeaccents.com/images/22332_l.jpg
