Welled Dressed Snowmen Gift Wrap,X7910 C,"30"" x 417' Half Ream / $189.00",Home|Gift Wrap - Shamrock|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Christmas gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Welled-Dressed-Snowmen-Gift-Wrap/X7910.jpg?bw=1000&w=1000&bh=1000&h=1000
Welled Dressed Snowmen Gift Wrap,X7910 C,"30"" x 833' Full Ream / $338.00",Home|Gift Wrap - Shamrock|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Christmas gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Welled-Dressed-Snowmen-Gift-Wrap/X7910.jpg?bw=1000&w=1000&bh=1000&h=1000
Natural Kraft Shopping Bags (Pup),NKP,N|o| |o|p|t|i|o|n,Home|Bags - Paper Shopping|Natural Kraft Shopping Bags,,,No set.,,"5"" x 3"" x 8"" - 250/case","Natural Kraft Paper Shoppers
Prices are per unit of 250 items",1,$49.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Natural-Kraft-Shopping-Bags-Pup/naturalkraftpupshoppingbag.jpg?bw=1000&w=1000&bh=1000&h=1000
Kara Gift Wrap Paper,918023,N|o| |o|p|t|i|o|n,Home|Gift Wrap - Stewo,,,No set.,,"24"" x 417'","Wholesale Gift Wrap Paper
Stewo Gift Wrap Paper. Made in Switzerland.
24"" x 417'
Price per roll.",1,$196.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Kara-Gift-Wrap-Paper/Kara.jpg?bw=1000&w=1000&bh=1000&h=1000
Primitive Star Black Paper Shopping Bag (Cub),PS-C-BLK,N|o| |o|p|t|i|o|n,Home|Bags - All Occasion Bags|Primitive Star Black Paper Shopping Bags,,,No set.,,"8"" x 5"" x 10"" - 100/case","Primitive Star Black Collection
Shopping Bags with Handles
100 per case
Price per case",1,$44.80 ,,,,,,,http://www.packagingsource.com/resize/images/Primitive-Star-Black-Collection.jpg?bw=1000&w=1000&bh=1000&h=1000
Dots - Bright Dots Tissue Paper,RC-1009A,N|o| |o|p|t|i|o|n,Home|Tissue Paper|Dots/Stripes Tissue Paper - Made in USA,,,No set.,,"20"" x 30"", 240 sheets/pack","240 sheets per package.
20"" x 30"" sheet size.
Price per pack.",1,$39.90 ,,,,,,,http://www.packagingsource.com/resize/images/RC-1009A.jpg?bw=1000&w=1000&bh=1000&h=1000
Crystalized Tissue-Antique Silver (2 sided),CY2003-200F,N|o| |o|p|t|i|o|n,Home|Tissue Paper|Pearlescence Tissue Paper - Made in USA,,,No set.,,"20"" x 30"", 200 sheets/pack","200 sheets per package.
20"" x 30"" sheet size.
Price per package.",1,$59.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Crystalized-Tissue-Antique-Silver-2-sided/CY2003-200.jpg?bw=1000&w=1000&bh=1000&h=1000
All a Flutter Tissue Paper,11-03-AAF,N|o| |o|p|t|i|o|n,Home|Tissue Paper|All Occasion Tissue Paper - Made in USA,,,No set.,,"20"" x 30"", 200 sheets/pack","200 sheets per package
20"" x 30""",1,$42.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/All-a-Flutter-Tissue-Paper/All-a-Flutter-Tissue-Paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Stars Frosted Shopping Bags (Cub),FB-1032-C,N|o| |o|p|t|i|o|n,Home|Bags - Frosted Bags|Frosted Designer Prints - New|Stars Frosted Shopping Bags,,,No set.,,"8"" x 5"" x 10"" - 100/case","Frosted Designer Shopping Bags
100 bags per case
Price per case",1,$39.90 ,,,,,,,http://www.packagingsource.com/resize/images/FB-1032-Stars.jpg?bw=500&bh=500
Plum Spring-Fill Crinkle Cut Shred,C40-PL,N|o| |o|p|t|i|o|n,Home|Shreds|Crinkle Cut Shred|40 lb Spring-Fill Crinkle Cut,,,No set.,,40# Box,"40 lb box

Spring-Fill Crinkle Cut

Crinkle Cut™ shred requires no fluffing and manipulating. In one clean motion, a gift packer grabs the appropriate amount of shred and fills up the container. Speaking of clean, that's another great benefit: since you don't need to pull at it to puff it out, Crinkle Cut™ shred creates little-to-no dust, leading to a better workplace and happy gift packers",1,$109.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Plum-Spring-Fill-Crinkle-Cut-Shred/Plum-Crinkle-Cut-Shred.jpg?bw=1000&w=1000&bh=1000&h=1000
Sea Glass Tissue Paper,362-200B,N|o| |o|p|t|i|o|n,Home|Tissue Paper|All Occasion Tissue Paper - Made in USA,,,No set.,,"20"" x 30"", 200 sheets/pack",No desc,1,$39.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Sea-Glass-Tissue-Paper/sea-glass-tissue-paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Holiday Trot Paper Shopping Bags (Cub),9090,N|o| |o|p|t|i|o|n,Home|Equestrian Packaging|Equestrian Paper Shopping Bags,,,No set.,,"8"" x 4 3/4"" x 10 1/4"" - 250/case","Equestrian Paper Shopping Bags
250 bags per case.
Price per case.
Made in the USA.",1,$148.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Holiday-Trot-Paper-Shopping-Bags-Cub/holiday-trot-shopping-bags.jpg?bw=1000&w=1000&bh=1000&h=1000
"Black Poly Ribbon - 1 1/4"" x 250yds",P8-26,N|o| |o|p|t|i|o|n,Home|Ribbons & Bows|Splendorette Poly Ribbon,,,No set.,,No dim.,"Splendorette Poly Ribbon
Berwick brand
100% polypropylene
Made in U.S.A.

Price per roll.",1,$9.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Black-Poly-Ribbon-1-1-4-x-250yds/splendoretteribbon_black.jpg?bw=1000&w=1000&bh=1000&h=1000
C0-CL 2.5x2.5x9 Clear,C0-CL,N|o| |o|p|t|i|o|n,Home|Cello Bags & Rolls|Clear Cello Bags,,,No set.,,100/case,"Cello Bags - Clear - 2 1/2 x 2 1/2 x 9.
Prices are per unit of 100 items.",1,$8.85 ,,,,,,,http://www.packagingsource.com/resize/images/Cello-Bags.jpg?bw=1000&w=1000&bh=1000&h=1000
Daisy Check Shopping Bags (Pup),CO-DC-P,N|o| |o|p|t|i|o|n,Home|Closeout Packaging|Closeout Bags|Daisy Check,,,No set.,,"5"" x 3"" x 8"" - 100/case","Closeout Shopping Bags
Daisy Check Collection
100 bags per case
Price per case",1,$29.90 ,,,,,,,http://www.packagingsource.com/resize/images/Closeout-Daisy-Check.jpg?bw=1000&w=1000&bh=1000&h=1000
Simply Sheer - Champagne,72315-27,N|o| |o|p|t|i|o|n,Home|Ribbons & Bows|Simply Sheer Asiana Ribbon (NEW LOWER PRICING),,,No set.,,"7/8"" x 100yd",Sheer ribbon with monofilament edge.,1,$7.95 ,,,,,,,http://www.packagingsource.com/resize/images/Simply-Sheer-Champagne.jpg?bw=1000&w=1000&bh=1000&h=1000
Two-Piece Lock Corner Box,GB10105,Please Select a Color|Natural Kraft|White Gloss,Home|Boxes - Gift & Apparel|Two Piece Lock Corner Gift Boxes,,,No set.,,"10 1/2"" x 10 1/2"" x 5"" - 50/case","Two Piece Lock Corner Gift Box
White Gloss or Natural Kraft
Price per case
50 per case
Use: Glassware, Bowls",1,$64.40 ,,,,,,,http://www.packagingsource.com/resize/images/White-2-piece-lock-corner.jpg?bw=1000&w=1000&bh=1000&h=1000
Soho European Shopping Bags (Emerald),ETEMERALD SOHO,N|o| |o|p|t|i|o|n,Home|Bags - Euro Tote Bags|Soho European Shopping Bags,,,No set.,,"10"" x 4"" x 8"" - 200/case","Soho European Shopping Bags
Upscale your packaging program with our luxurious soho european shopping bags - available in six of our most popular bag sizes. Bags are constructed with a sturdy matte finish white kraft paper exterior and interior and feature natural white cotton waxed rope handles. Personalize with your brand logo in a colorful four color process print or an elegant hot stamp or emboss print.
180 GSM
Case Pack: 200
Price per case.
Contact customer service at 1-800-624-6244 for custom printed pricing.",1,$209.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Soho-European-Shopping-Bags-Emerald/soho_european_shopping_bags.jpg?bw=1000&w=1000&bh=1000&h=1000
Simply Sheer - Old Gold,72315-11,N|o| |o|p|t|i|o|n,Home|Ribbons & Bows|Simply Sheer Asiana Ribbon (NEW LOWER PRICING),,,No set.,,"7/8"" x 100yd",Sheer ribbon with monofilament edge.,1,$7.95 ,,,,,,,http://www.packagingsource.com/resize/images/Simply-Sheer-Old-Gold.jpg?bw=1000&w=1000&bh=1000&h=1000
Ebony Chic Paper Shopping Bags (Vogue),15-160612-EC,N|o| |o|p|t|i|o|n,Home|Bags - All Occasion Bags|Ebony Chic Paper Shopping Bags,,,No set.,,"16"" x 6"" x 12"" - 100/case","Ebony Chic Paper Shopping Bags
40% post-consumer recycled content.
100 bags per case.
Price per case.",1,$67.41 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Ebony-Chic-Paper-Shopping-Bags-Pup/Ebony-Chic-Shoppers.jpg?bw=1000&w=1000&bh=1000&h=1000
"Side Stripe Manhattan Euro Shopper - 8"" x 4"" x 10""",5841,Please select a bag color|Big Apple Red|Bleeker St. Black|Grand St. Grey|Washington St. White,Home|Bags - Euro Tote Bags|Side Striped Manhattan Euro Shoppers,,,No set.,,"8"" x 4"" x 10"" - 100/case","Side Stripe Manhattan Euro Shoppers
Reinforced fold-over turn top, cardboard bottom inserts
Made of 180 GSM wood free paper
Twill Handles
Recyclable once twill handle is removed
100 bags per case
Price per case",1,$102.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Side-Stripe-Manhattan-Euro-Shopper-5-x4-x6/side-stripe-manhattan-bags-group2__02461.1520363222.1280.1280.jpg?bw=1000&w=1000&bh=1000&h=1000
Brown and Pink Deluxe Bags (Large),DLN2DOTBP,N|o| |o|p|t|i|o|n,Home|Cello Bags & Rolls,,,No set.,,1000/case,"Polka Dot Deluxe Bags
2 5/8"" x 1 7/8"" x 10 3/4""
1,000 bags per case
Price per case

These bags open nicely to a flat base for easy filling.
Available in 2 sizes.
Perfect for nuts, candy, coffee, etc.",1,$276.00 ,,,,,,,http://www.packagingsource.com/resize/images/Brown-and-Pink-Bags1.jpg?bw=1000&w=1000&bh=1000&h=1000
Tints on Duet Shopping Bags (Cub),DUET-C,Please select a bag color|Arctic Blue|Crimson Red|Electric Violet|Nautical Blue|Pumpkin Orange|Spruce Green|Sunshine Yellow,Home|Bags - Paper Shopping|Tints on Duet Shopping Bags,,,No set.,,"8.25"" x 4.75"" x 10.5""- 250 / case","Tints on Duet Paper Shopping Bags
100% Recycled Content, 85% Post-Consumer
Kraft Interior with Tinted Exterior. White Twist Paper Handles
250 Bags Per Case",1,$80.00 ,,,,,,,http://www.packagingsource.com/resize/shared/images/product/Tints-on-Duet-Shopping-Bags.jpg?bw=1000&w=1000&bh=1000&h=1000
Pink Splendorette Star Bows,SB5A-02,N|o| |o|p|t|i|o|n,Home|Ribbons & Bows|Splendorette Star Bows,,,No set.,,"3 3/4"" x 15 loops - 3/4"" ribbon - 200/case","Splendorette Star Bows
Berwick brand
100% polypropylene
Made in U.S.A.

Price per case.",1,$16.70 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Pink-Splendorette-Star-Bows/SB5A02.jpg?bw=1000&w=1000&bh=1000&h=1000
Safari Park Tissue Paper,369-200B,N|o| |o|p|t|i|o|n,Home|Tissue Paper|Baby/Kids/Celebration - Made in USA,,,No set.,,"20"" x 30"", 200 sheets/pack","200 sheets per package.
20"" x 30"" sheet size.
Price per package.",1,$39.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Safari-Park-Tissue-Paper/Safari-Park-Tissue-Paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Premium Bakers Twine - Black/White,A13570-00250-0030,N|o| |o|p|t|i|o|n,Home|Ribbons & Bows|Bakers Twine,,,No set.,,"16 ply x 250 yards, 100% Cotton","Premium Bakers Twine
16 ply x 250 yards.
Bakers Twine taken to the next level!  Four times thicker than most basic bakers twine on the market.  This 100% all cotton 16 ply twine has durability, strength, and makes a bolder statement on any and every package it appears on.  All natural and affordable.  Premium Bakers Twine will not disappoint.  Made of 100% Cotton.",1,$7.95 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Premium-Bakers-Twine-Black-White/bakerstwine_black.jpg?bw=1000&w=1000&bh=1000&h=1000
Red Economy Tissue Paper,ECO-RD,N|o| |o|p|t|i|o|n,Home|Tissue Paper|Economy Tissue Paper - Made in USA,,,No set.,,"20"" x 26"", 500 sheets/pack","Economy Tissue Paper

20"" x 26"" sheet size (Flat pack)
500 sheets per ream
Price per ream.

Made in U.S.A.",1,$24.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Red-Economy-Tissue-Paper/scarlet-tissue-paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,Please Select Size,Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"24"" x 208' Quarter Ream / $77.25",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"24"" x 417' Half Ream / $139.50",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"24"" x 833' Full Ream / $249.00",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"30"" x 208' Quarter Ream / $77.25",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"30"" x 417' Half Ream / $139.50",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Candy Cane Glitter Gift Wrap Paper,XB791,"30"" x 833' Full Ream / $249.00",Home|Gift Wrap - Jillson Roberts|Christmas Gift Wrap Paper,,,No set.,,Available in various sizes.,"Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Candy-Cane-Glitter-Gift-Wrap-Paper/XB791c.jpg?bw=1000&w=1000&bh=1000&h=1000
Winter City Plastic Bags,CI-PB9WIN,N|o| |o|p|t|i|o|n,Home|Bags - Christmas Bags|Winter City Plastic Bags,,,No set.,,"9"" x 11 1/2"" x 2"" - 500/case","Winter City plastic bags are recyclable and biodegradable.
Made in USA and Canada.
2.5 LDPE
500/case.
Price per case.",1,$57.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Winter-City-Plastic-Bags/winter-city-plastic-bags-an.jpg?bw=1000&w=1000&bh=1000&h=1000
Luxe Jewelry Boxes,JB32,"Please Select a Color|Box: Matte Black, Side: Matte Black|Box: Matte Chocolate, Side: Matte Chocolate|Box: Matte White, Side: Matte White|Box: Matte Gold, Side: Matte Gold|Box: Matte Navy, Side: Matte Navy|Box: Matte Silver, Side: Matte Silver|Box: Matte Turquoise, Side: Matte Turquoise|Box: Natural Kraft, Side: Natural Kraft|Box: Matte Champagne, Side: Matte Champagne|Box: Matte Cream, Side: Matte Cream|Box: Matte White, Side: Matte Black",Home|Boxes - Jewelry Boxes|Luxe Ribbon Jewelry Boxes,,,No set.,,"3"" x 2 1/4"" x 1 1/4"" - 100/case","Luxe Ribbon Jewelry Boxes
100 boxes per case
Price per case

These upscale set up jewelry boxes feature an elegant matte laminated finish and luxurious color coordinated grosgrain ribbon. Available in 6 popular sizes to fit many assorted jewelry styles. These boxes feature a white or black velvet pad insert with slits to safely hold jewelry pieces.",1,$174.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Luxe-Jewelry-Boxes/luxe_jewelry_boxes.jpg?bw=1000&w=1000&bh=1000&h=1000
Horseshoe & Stars Paper Shopping Bags (Vogue),9045,N|o| |o|p|t|i|o|n,Home|Equestrian Packaging|Equestrian Paper Shopping Bags,,,No set.,,"16"" x 6"" x 13"" - 250/case","Equestrian Paper Shopping Bags
250 bags per case.
Price per case.
Made in the USA.",1,$172.00 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Horseshoe-Stars-Paper-Shopping-Bags-Vogue/horseshoe-stars.jpg?bw=1000&w=1000&bh=1000&h=1000
Red Bandana Gift Wrap Paper,4030,Please Select Size,Home|Equestrian Packaging|Equestrian Gift Wrap,,,No set.,,Available in various sizes.,"Equestrian Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Red-Bandana-Gift-Wrap-Paper/red-bandana-gift-wrap-paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Red Bandana Gift Wrap Paper,4030,"24"" x 417' Half Ream / $99.50",Home|Equestrian Packaging|Equestrian Gift Wrap,,,No set.,,Available in various sizes.,"Equestrian Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Red-Bandana-Gift-Wrap-Paper/red-bandana-gift-wrap-paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Red Bandana Gift Wrap Paper,4030,"24"" x 833' Full Ream / $185.00",Home|Equestrian Packaging|Equestrian Gift Wrap,,,No set.,,Available in various sizes.,"Equestrian Gift Wrap Paper

Price per roll.",1,See options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Red-Bandana-Gift-Wrap-Paper/red-bandana-gift-wrap-paper.jpg?bw=1000&w=1000&bh=1000&h=1000
Crystalized Tissue-Midnight Blue(1 sided),CY1012-200E,N|o| |o|p|t|i|o|n,Home|Tissue Paper|Pearlescence Tissue Paper - Made in USA,,,No set.,,"20"" x 30"", 200 sheets/pack","200 sheets per package.
20"" x 30"" sheet size.
Price per package.",1,$54.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Crystalized-Tissue-Midnight-Blue-1-sided/CY1012-200.jpg?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,Please Select Size,Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,"18"" x 417' Half Ream / $103.75",Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,"18"" x 833' Full Ream / $178.00",Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,"24"" x 100' Cutter Box / $32.50",Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,"24"" x 417' Half Ream / $95.90",Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Seashells Gift Wrap,E3164 B,"24"" x 833' Full Ream / $169.90",Home|Gift Wrap - Shamrock|Everyday/Floral/Feminine Gift Wrap,,,No set.,,Available in various sizes.,"Wholesale Gift Wrap Paper

Theme: Everyday/Feminine/Floral gift wrap paper
Made in USA.
Price per roll.",1,See Size Options,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Seashells-Gift-Wrap/Shamrock-2017-catalog-150dpi-34.gif?bw=1000&w=1000&bh=1000&h=1000
Clear Basket Bags (Flat Bottom),BB-1620CLEF,N|o| |o|p|t|i|o|n,Home|Bags - Shrink & Basket|Clear Basket Bags,,,No set.,,"16"" x 20"" - 100/case","Clear basket bags retain shape and do not shrink.  
Flat bottom.
1.2 mil thickness.
100/case.
Price per case.",1,$18.90 ,,,,,,,http://www.packagingsource.com/resize/Shared/Images/Product/Clear-Basket-Bags-Flat-Bottom/clear-basket-bags.jpg?bw=1000&w=1000&bh=1000&h=1000
